SKILLSET BREAKDOWN,,,Master copy is Excel file in Dietrich\Careers on main computer ,,,,,,,,,,,,
"as of  Feb. 9, 2024, last updated Jan. 25, 2024",,,YEARS USED AT DIFFERENT JOBS,,,,,,,,,,,,
Skill,LAST USED,TOTAL YEARS USED,ITI,NIS,Magellan,USNR,Mentor,Harland,ProDX,NeumanS.S.,Franklin Revere,"Microsoft '04, SDET","Microsoft '05, ADO prog/wri ",Nexelis/ PacBio,CGI
MS Visio,2024,1.6,,,,,,,,,,,,0.5,1.1
DreamWeaver,2003,1.4,,,,,,,,1.4,,,,,
Photoshop,2024,3.4,,,,,,,,,,,,3,0.4
Paint Shop Pro,2007,1.3,,,,,,,,1.1,,,,0.2,
PhotoFinish,2002,0.5,,,,,,,,0.5,,,,,
,,,,,,,,,,,,,,,
DATABASE PLATFORMS,,,,,,,,,,,,,,,
MS Access,2024,7.9,,,,1,,,,1,,,0.1,4,1.8
SQL Server,2024,18,,,,,,1,,,,,0.2,14.5,2.3
SQL Server Azure,2024,0.1,,,,,,,,,,,,,0.1
ODBC,2023,13.6,,,,1,,1,,0.5,,,,9,2.1
Oracle,1993,0.2,,0.2,,,,,,,,,,,
SQL ,2024,20.6,,0.2,,1,,1,,0.9,,,0.2,15,2.3
T-SQL,2024,15,,,,,,,,,,,,12.7,2.3
Embedded SQL,1993,0.2,,0.2,,,,,,,,,,,
RDM,1993,7,5.2,1.8,,,,,,,,,,,
ProRDM,1993,6.3,4.5,1.8,,,,,,,,,,,
ADO,2024,16,,,,,,,,0.4,,,0.3,13,2.3
,,,,,,,,,,,,,,,
HARDWARE PLATFORMS,,,,,,,,,,,,,,,
Intel x86/64,2024,29.9,2,1,0.3,3.2,0.7,1.3,0.6,1.1,0.3,1,0.3,15.5,2.6
VAX,1998,9.3,5,1.8,,2.5,,,,,,,,,
Sun,1999,0.7,,,,,0.7,,,,,,,,
PDP11,1993,6,4.7,1.3,,,,,,,,,,,
Alpha AXP,1992,0.3,,0.3,,,,,,,,,,,
IBM RS-6000,1999,0.7,,,,,0.7,,,,,,,,
Macintosh,1994,0.6,,,0.6,,,,,,,,,,
HP 9000,1999,0.7,,,,,0.7,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"NOTES: might add VS, installers MSI and ClickOnce,..",,,,,,,,,,,,,,,
